what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.wst.xml.core,1.1.402.v201001222130,"org.eclipse.wst.xml.core",1396536425614
started,bundle,org.eclipse.wst.common.modulecore,1.1.301.v201001252130,"org.eclipse.wst.common.modulecore",1396536425646
started,bundle,org.eclipse.wst.validation,1.2.104.v200911120201,"org.eclipse.wst.validation",1396536425654
started,bundle,org.eclipse.jst.j2ee,1.1.301.v201001272230,"org.eclipse.jst.j2ee",1396536425666
started,bundle,org.eclipse.jst.servlet.ui,1.1.301.v200908101600,"org.eclipse.jst.servlet.ui",1396536426063
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1396536426090
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.import",1396536426106
started,bundle,org.eclipse.jdt.apt.core,3.3.202.R35x_v20091130-2300,"org.eclipse.jdt.apt.core",1396536426229
started,bundle,org.eclipse.jdt.apt.pluggable.core,1.0.201.R35x_v20090925-1100,"org.eclipse.jdt.apt.pluggable.core",1396536426232
activated,view,org.eclipse.ui.ide,3.5.2.M20100113-0800,"org.eclipse.ui.views.AllMarkersView",1396536436608
activated,view,org.eclipse.ui.navigator.resources,3.4.1.M20090826-0800,"org.eclipse.ui.navigator.ProjectExplorer",1396536451227
started,bundle,org.eclipse.wst.ws.service.policy,1.0.103.v200905151848,"org.eclipse.wst.ws.service.policy",1396536451404
started,bundle,org.eclipse.wst.command.env,1.0.408.v200903110045,"org.eclipse.wst.command.env",1396536451413
started,bundle,org.eclipse.wst.ws,1.1.103.v200903111822,"org.eclipse.wst.ws",1396536451414
started,bundle,org.eclipse.compare,3.5.2.r35x_20100113-0800,"org.eclipse.compare",1396536451529
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1396536454677
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1396536484091
started,bundle,org.eclipse.ltk.core.refactoring,3.5.0.v20090513-2000,"org.eclipse.ltk.core.refactoring",1396536506165
started,bundle,org.eclipse.ltk.ui.refactoring,3.4.101.r352_v20100209,"org.eclipse.ltk.ui.refactoring",1396536506166
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1396536506239
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1396536508087
executed,command,org.eclipse.ltk.ui.refactoring,3.4.101.r352_v20100209,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1396536508094
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.delete",1396536508094
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1396536515251
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1396536529233
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1396536542617
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1396536554931
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1396536564579
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1396536572836
started,bundle,org.eclipse.compare.core,3.5.0.I20090430-0408,"org.eclipse.compare.core",1396536583770
opened,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1396536583881
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1396536584226
started,bundle,org.eclipse.core.variables,3.2.200.v20090521,"org.eclipse.core.variables",1396536584490
started,bundle,org.eclipse.ui.views.log,1.0.100.v20090731,"org.eclipse.ui.views.log",1396536588315
started,bundle,org.eclipse.pde.ui,3.5.1.v201001121200,"org.eclipse.pde.ui",1396536588329
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1396536612388
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1396536646221
activated,view,org.eclipse.ui.navigator.resources,3.4.1.M20090826-0800,"org.eclipse.ui.navigator.ProjectExplorer",1396536654338
started,bundle,org.eclipse.wst.xsl.debug.ui,1.0.0.v200904240436,"org.eclipse.wst.xsl.debug.ui",1396536656094
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1396536657733
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1396536698081
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1396536705327
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1396536730020
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1396536734317
activated,view,org.eclipse.ui.navigator.resources,3.4.1.M20090826-0800,"org.eclipse.ui.navigator.ProjectExplorer",1396536745007
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1396536748917
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1396536768652
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1396536773193
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1396536775672
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1396536779305
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1396536784012
executed,command,org.eclipse.ui.workbench.texteditor,3.5.1.r352_v20100105,"org.eclipse.ui.edit.text.showInformation",1396536784026
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1396536785010
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1396536801457
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1396536908155
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1396536909337
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1396536910420
closed,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1396536910564
stopped,bundle,org.eclipse.jst.ws.axis.creation.ui,1.0.406.v200903031852,"org.eclipse.jst.ws.axis.creation.ui",1396536910886
stopped,bundle,org.eclipse.jst.ws.axis.consumption.ui,1.0.405.v200901261650,"org.eclipse.jst.ws.axis.consumption.ui",1396536910888
stopped,bundle,org.eclipse.jst.ws.axis.consumption.core,1.0.306.v200810082309,"org.eclipse.jst.ws.axis.consumption.core",1396536910890
stopped,bundle,org.eclipse.jst.ws.axis2.creation.ui,1.0.103.v200807162242,"org.eclipse.jst.ws.axis2.creation.ui",1396536910890
